10.2.101.241,Microsoft Office Professional Plus 2010
10.2.101.241,Microsoft Office Project Professional 2010
10.2.101.241,Microsoft Office Visio Professional 2007
10.2.101.241,Microsoft Project Professional 2010
10.2.101.244,Microsoft Office Professional Plus 2010
10.2.101.244,Microsoft Office Project Professional 2010
10.2.101.244,Microsoft Office Standard 2010
10.2.101.244,Microsoft Project Professional 2010
10.2.101.254,Microsoft Office Standard 2010
10.2.101.36,Microsoft Office Professional Plus 2010
10.2.101.36,Microsoft SQL Server 2005 
10.2.101.46,Microsoft Office Standard 2010
10.2.101.46,Microsoft SQL Server 2008 
10.2.101.5,Microsoft Office Standard 2010
10.2.101.51,Microsoft Office Standard 2010
10.2.101.55,Microsoft Office Professional Plus 2010
10.2.101.55,Microsoft SQL Server 2005 
10.2.101.58,Microsoft Office Standard 2010
10.2.101.60,Microsoft Office Standard 2010
10.2.101.61,Microsoft Office Standard 2010
10.2.101.62,Microsoft Office Project Professional 2010
10.2.101.62,Microsoft Office Standard 2010
10.2.101.62,Microsoft Project Professional 2010
10.2.101.63,Microsoft Office Professional Plus 2010
10.2.101.63,Microsoft SQL Server 
10.2.101.63,Microsoft SQL Server 2005
10.2.101.63,Microsoft SQL Server 2008 
10.2.101.63,Microsoft SQL Server 2012 
10.2.101.63,Microsoft Visual Studio Premium 
10.2.101.63,Microsoft Visual Studio Professional 
10.2.101.63,Microsoft Visual Studio Team Foundation Server 2012 
10.2.101.63,Microsoft Visual Studio Ultimate 
10.2.101.64,Microsoft Office Professional Plus 2010
10.2.101.64,Microsoft Office Project Standard 2010
10.2.101.64,Microsoft Office Visio 2010
10.2.101.64,Microsoft Project Standard 2010
10.2.101.64,Microsoft Visio Standard 2010
10.2.101.66,Microsoft Office Standard 2010
10.2.101.66,Microsoft SQL Server 2008 
10.2.101.77,Microsoft Office Standard 2010
10.2.101.81,Microsoft Office Standard 2010
10.2.101.85,Microsoft Office Standard 2007
10.2.101.85,Microsoft Office Visio Professional 2007
10.2.101.85,Microsoft SQL Server 2005 
10.2.101.9,Microsoft Office Standard 2010
10.2.101.92,Microsoft Office Access database engine 2007
10.2.101.92,Microsoft SQL Server 
