10.2.43.239;"Atualização de Segurança para Windows XP (KB2691442)";"20120712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2695962)";"20120510";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2698365)";"20120712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2699988)";"20120702";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2705219)";"20120828";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2707511)";"20120712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2712808)";"20120828";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2718523)";"20120712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB2718704)";"20120605";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2719985)";"20120712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2722913)";"20120828";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2723135)";"20120828";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2724197)";"20121010";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2727528)";"20121115";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2731847)";"20120828";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB2736233)";"20120913";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2744842)";"20120925";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB2749655)";"20121010";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2753842)";"20121213";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2753842-v2)";"20121221";"";"2";"Microsoft Corporation"
10.2.43.239;"Hotfix para Windows XP (KB2756822)";"20121010";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2757638)";"20130109";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2758857)";"20121213";"";"1";"Microsoft Corporation"
