10.2.11.171;"Update for Microsoft .NET Framework 4 Client Profile (KB2468871)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Security Update for Microsoft .NET Framework 4 Client Profile (KB2894842v2)";"";"";"2";"Microsoft Corporation"
10.2.11.171;"Security Update for Microsoft .NET Framework 4 Client Profile (KB2972106)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Security Update for Microsoft .NET Framework 4 Client Profile (KB2972215)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Security Update for Microsoft .NET Framework 4 Client Profile (KB2978125)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Security Update for Microsoft .NET Framework 4 Client Profile (KB2979575v2)";"";"";"2";"Microsoft Corporation"
10.2.11.171;"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"";"";"12.0.30501.0";"Microsoft Corporation"
10.2.11.171;"LibreOffice 4.0.3.3";"20130527";"4.0";"4.0.3.3";"The Document Foundation"
10.2.11.171;"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"20150204";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.11.171;"Intel(R) OpenCL CPU Runtime";"";"0.0";"";"Intel Corporation"
10.2.11.171;"Sophos Remote Management System";"20150417";"4.0";"4.0.2";"Sophos Limited"
10.2.11.171;"Microsoft ASP.NET Web Pages 2 Runtime";"20150204";"2.0";"2.0.20713.0";"Microsoft Corporation"
10.2.11.171;"Astah Community 6_9_0";"20150203";"";"";"Change Vision, Inc."
10.2.11.171;"AutoHotkey 1.1.13.01";"";"";"1.1.13.01";"Lexikos"
10.2.11.171;"CCleaner";"";"3.16";"3.16";"Piriform"
10.2.11.171;"Ditto";"20131111";"";"";"Scott Brogden"
10.2.11.171;"Microsoft .NET Framework 4 Client Profile";"";"";"4.0.30319";"Microsoft Corporation"
10.2.11.171;"Pacote de Idiomas do Microsoft .NET Framework 4 Client Profile - Português (Brasil)";"";"";"4.0.30319";"Microsoft Corporation"
10.2.11.171;"Microsoft .NET Framework 4 Extended";"";"";"4.0.30319";"Microsoft Corporation"
10.2.11.171;"Pacote de Idiomas do Microsoft .NET Framework 4 Extended - Português (Brasil)";"";"";"4.0.30319";"Microsoft Corporation"
10.2.11.171;"Microsoft Help Viewer 1.1";"";"";"1.1.40219";"Microsoft Corporation"
