10.2.101.63;"FTDownloader";"";"";"2.1 Build 26473";"FTDownloader.com"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2485545)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982517)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982721)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB983233)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual Studio 2012 Shell (Minimum) Interop Assemblies";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Módulo de Proteção - Banco Santander (Brasil) S.A.";"20140630";"";"3.8.0.2";""
10.2.101.63;"Windows Live PIMT Platform";"20130125";"15.4";"15.4.3508.1109";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual F# 2.0 Runtime";"20130214";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.101.63;"MSXML 4.0 SP2 (KB954430)";"20131018";"4.20";"4.20.9870.0";"Microsoft Corporation"
10.2.101.63;"Microsoft SQL Server System CLR Types";"20130214";"10.50";"10.50.1750.9";"Microsoft Corporation"
10.2.101.63;"Realtek Ethernet Controller Driver";"20130128";"";"7.48.823.2011";"Realtek"
10.2.101.63;"Visual Studio Extensions for Windows Library for JavaScript";"20130215";"1.0";"1.0.8514.0";"Microsoft Corporation"
10.2.101.63;"Mesh Runtime";"20130125";"15.4";"15.4.5722.2";"Microsoft Corporation"
10.2.101.63;"MSVCRT";"20130125";"15.4";"15.4.2862.0708";"Microsoft"
10.2.101.63;"Visual Studio Tools for the Office system 3.0 Runtime";"20131125";"9.0";"9.0.21022";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Visual Web Developer 2007";"20140920";"12.0";"12.0.4518.1066";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Visual Web Developer MUI (English) 2007";"20131125";"12.0";"12.0.4518.1066";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Shared MUI (English) 2007";"20131125";"12.0";"12.0.4518.1014";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Shared Setup Metadata MUI (English) 2007";"20131125";"12.0";"12.0.4518.1014";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Professional Plus 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
