10.2.100.66;"soapUI 4.5.1 4.5.1";"";"4.5";"4.5.1";"SmartBear Software"
10.2.100.66;"Update for Windows XP (KB968389)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB969059)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Hotfix for Windows XP (KB969084)";"20150723";"";"3";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB970430)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB971029)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB971657)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB971737)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB972270)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB973507)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Media Player (KB973540)";"20110709";"";"";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB973687)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB973815)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB973869)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB973904)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB974112)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB974318)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB974392)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB974571)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB975025)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB975467)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Media Player (KB975558)";"20110709";"";"";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB975560)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB975562)";"20110709";"";"1";"Microsoft Corporation"
