10.2.103.52;"BRQ\gabrielbittencourt"
10.2.103.58;"BRQ\vamorim"
10.2.103.59;"BRQ\lucassilva"
10.2.10.36;"BRQ\diegocordeiro"
10.2.103.6;"BRQ\monica"
10.2.103.70;"BRQ\jorgesilva"
10.2.103.71;"BRQ\fernandobritto"
10.2.103.73;"BRQ\jonathanfonseca"
10.2.103.74;"BRQ\sebastiaomoraes"
10.2.103.77;"BRQ\rguedes"
10.2.103.78;"BRQ\fohana"
10.2.10.37;"BRQ\katiachiyoda"
10.2.103.85;"BRQ\mbrugni"
10.2.103.91;"BRQ\pthiner"
10.2.103.98;"BRQ\lgsilva"
10.2.10.49;"BRQ\alessandrarosa"
10.2.10.6;"BRQ\rafaeljaremtchuk"
10.2.10.76;"BRQ\cristiano"
10.2.10.80;"BRQ\gabrielmylla"
10.2.10.81;"BRQ\cristiano"
10.2.10.90;"BRQ\albertog"
10.2.10.9;"BRQ\leandrofurini"
10.2.11.0;"BRQ\lcalvo"
10.2.11.105;"BRQ\fvalle"
10.2.11.108;"BRQ\danilocasassa"
10.2.11.110;"BRQ\rodrigomartins"
10.2.11.112;"BRQ\eganjos"
10.2.11.118;"BRQ\paulodembiski"
10.2.11.124;"nbma024816\brq"
10.2.11.130;"BRQ\rodrigomartins"
10.2.11.135;"BRQ\mauriciorosa"
10.2.11.136;"BRQ\pialmeida"
10.2.11.144;"BRQ\leoncio"
10.2.11.147;"BRQ\fernandocastro"
10.2.11.156;"BRQ\veralucia"
10.2.11.158;"BRQ\raisasmaniotto"
10.2.11.171;"BRQ\thamirisramos"
10.2.11.195;"BRQ\lcalvo"
10.2.11.196;"BRQ\adimarnossol"
10.2.11.1;"BRQ\smoraes"
10.2.11.203;"BRQ\vjaraujo"
10.2.11.221;"BRQ\fauler"
10.2.11.24;"BRQ\lucascordoves"
10.2.11.251;"BRQ\danielmancia"
10.2.11.254;"BRQ\ejcosta"
10.2.1.128;"drodrigues_pvila"
10.2.1.12;"RJSERVER3\vcenterrj"
10.2.11.50;"BRQ\cbsouza"
10.2.11.54;"BRQ\felicianopk"
10.2.11.58;"BRQ\julianoribeiro"
10.2.11.60;"BRQ\zmateus"
10.2.11.70;"BRQ\sauloyassoyama"
10.2.11.77;"BRQ\diegorangel"
10.2.11.85;"BRQ\leandrofurini"
10.2.11.90;"BRQ\rodrigopereira"
10.2.12.0;"BRQ\erossouza"
10.2.12.100;"BRQ\smoraes"
10.2.12.10;"BRQ\antonioavenor"
10.2.12.112;"BRQ\bbarreto"
10.2.12.115;"BRQ\afragoso"
10.2.12.121;"BRQ\erossouza"
10.2.12.124;"BRQ\vjaraujo"
10.2.12.127;"BRQ\sscalegari"
10.2.12.129;"BRQ\aclima"
10.2.12.134;"BRQ\AMBorges"
10.2.12.139;"BRQ\ipereira"
10.2.12.145;"BRQ\vjaraujo"
10.2.12.149;"BRQ\drodrigues"
10.2.12.150;"BRQ\danilocasassa"
10.2.12.157;"BRQ\vprodocimo"
10.2.12.172;"BRQ\pauloneves"
10.2.12.178;"BRQ\leofranco"
10.2.12.180;"BRQ\kelyporfirio"
10.2.12.187;"BRQ\fjfigueiredo"
10.2.12.188;"BRQ\gabrielmylla"
10.2.12.205;"BRQ\mvalle"
10.2.12.35;"BRQ\paulosergio"
10.2.12.36;"BRQ\marcosmagno"
10.2.12.44;"BRQ\cdantas"
10.2.12.55;"BRQ\michelpereira"
10.2.12.63;"BRQ\mateusleichsen"
10.2.12.77;"mmorgado"
10.2.12.87;"BRQ\jacquelinemercon"
10.2.12.88;"BRQ\eduardomendes"
10.2.12.99;"BRQ\diogocamargo"
10.2.13.0;"BRQ\gustavofontes"
10.2.13.100;"BRQ\vjaraujo"
10.2.13.110;"BRQ\dkruger"
10.2.13.121;"BRQ\arrosario"
10.2.13.134;"BRQ\rosanacavalcante"
10.2.13.135;"BRQ\gustavofontes"
10.2.13.138;"BRQ\claudiakazue"
10.2.13.146;"BRQ\rrigoni"
10.2.13.150;"BRQ\lgdsilva"
10.2.13.15;"dtmaportaria02\portaria"
10.2.13.160;"BRQ\erickrolim"
10.2.13.177;"BRQ\scavalli"
10.2.13.18;"BRQ\josianemoura"
10.2.13.190;"BRQ\antonioavenor"
10.2.13.195;"BRQ\albertopucci"
10.2.13.203;"BRQ\dkruger"
10.2.13.219;"BRQ\fportela"
10.2.13.21;"BRQ\arrosario"
10.2.13.234;"BRQ\drodrigues"
10.2.13.50;"BRQ\cbsouza"
10.2.13.62;"nbma024816\brq"
10.2.13.73;"BRQ\josianemoura"
10.2.13.74;"BRQ\AMBorges"
10.2.13.78;"BRQ\douglascampos"
10.2.13.87;"BRQ\services"
10.2.13.89;"BRQ\williamborba"
10.2.13.94;"BRQ\hmgomes"
10.2.13.95;"BRQ\aerciomendes"
10.2.13.98;"BRQ\marcohonisman"
10.2.14.65;"BRQ\fportela"
10.2.14.66;"BRQ\fgodoy"
10.2.14.75;"BRQ\mauriciosouza"
10.2.14.76;"BRQ\andersonmelo"
10.2.14.77;"BRQ\juarezgoncalves"
10.2.14.78;"BRQ\sfeversani"
10.2.14.83;"BRQ\lspolaore"
10.2.14.84;"BRQ\jusilva"
10.2.17.155;"sqlservice"
10.2.17.190;"sqlservice"
10.2.17.203;"RJSERVER3\vcenterrj"
10.2.17.226;"sqlservice"
10.2.17.227;"sqlservice"
10.2.17.89;"clsouza"
10.2.2.1;"BRQ\ale"
