10.2.67.80;"Pacote de Idiomas do Microsoft Visual Studio 2010 Tools for Office Runtime (x64) - Português (Brasil)";"";"";"10.0.50903";"Microsoft Corporation"
10.2.67.80;"Intel(R) Network Connections 16.5.2.0";"20111107";"16.5";"16.5.2.0";"Intel"
10.2.67.80;"Synaptics Pointing Device Driver";"";"15.0";"15.0.24.0";"Synaptics Incorporated"
10.2.67.80;"VMware Workstation";"20140625";"10.0";"10.0.1";"VMware, Inc."
10.2.67.80;"Microsoft .NET Framework 4.5.2 (PTB)";"20150730";"4.5";"4.5.51209";"Microsoft Corporation"
10.2.67.80;"Fences";"20130722";"1.0";"1.0";"Stardock Corporation"
10.2.67.80;"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"20141114";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.67.80;"Microsoft .NET Framework 4.5.2";"20150730";"4.5";"4.5.51209";"Microsoft Corporation"
10.2.67.80;"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"20120210";"9.0";"9.0.30729.4148";"Microsoft Corporation"
10.2.67.80;"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"20120223";"9.0";"9.0.30729.6161";"Microsoft Corporation"
10.2.67.80;"VMware View Client";"20120926";"5.1";"5.1.0.704644";"VMware, Inc."
10.2.67.80;"Microsoft Silverlight";"20150730";"5.1";"5.1.40416.0";"Microsoft Corporation"
10.2.67.80;"Microsoft Office Office 64-bit Components 2007";"20150313";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.67.80;"Microsoft Office Shared 64-bit MUI (Portuguese (Brazil)) 2007";"20150304";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.67.80;"Microsoft Office Office 64-bit Components 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Microsoft Office Shared 64-bit MUI (Portuguese (Brazil)) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Intel(R) Network Connections 16.5.2.0";"20111107";"16.5";"16.5.2.0";"Intel"
10.2.67.80;"Microsoft Policy Platform";"20140317";"1.2";"1.2.3602.0";"Microsoft Corporation"
10.2.67.80;"Microsoft .NET Framework 4.5.2";"";"";"4.5.51209";"Microsoft Corporation"
10.2.67.80;"Microsoft .NET Framework 4.5.2 (Português do Brasil)";"";"";"4.5.51209";"Microsoft Corporation"
10.2.67.80;"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)";"20141114";"10.0";"10.0.50908";"Microsoft Corporation"
10.2.67.80;"Microsoft Application Error Reporting";"20111020";"12.0";"12.0.6015.5000";"Microsoft Corporation"
10.2.67.80;"Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - PTB";"20141114";"10.0";"10.0.50903";"Microsoft Corporation"
10.2.67.80;"Microsoft Visual C++ 2005 Redistributable (x64)";"20140317";"8.0";"8.0.61000";"Microsoft Corporation"
10.2.67.80;"Configuration Manager Client";"20150814";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.67.80;"VisualSVN Server 3.2.2";"20150112";"3.2";"3.2.2.0";"VisualSVN Ltd."
10.2.67.80;"Microsoft Windows 7 Professional ";"20111020100746.000000-120";"6.1.7601";"6.1.7601";"Microsoft Corporation"
