10.2.75.137;"Microsoft Office PowerPoint MUI (Portuguese (Brazil)) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft PowerPoint 2010 (KB2920812) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Excel 2010 (KB2956084) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Publisher MUI (Portuguese (Brazil)) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Outlook MUI (Portuguese (Brazil)) 2010";"20150814";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Outlook 2010 (KB3055041) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Word 2010 (KB2553428) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Word MUI (Portuguese (Brazil)) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Excel 2010 (KB2956084) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Word 2010 (KB2553428) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Proof (English) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
