chave,_IP,_CPU,_memoria,_disco,_versaoSO,_site
RJSERVER98,10.2.17.98,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,6GB,C: 65GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
RJSERVER103,10.2.17.101,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 50 GB D: 20 GB,Microsoft Windows Server 2008 R2 Standard ,BV
RJSERVER103,10.2.17.102,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 50 GB D: 20 GB,Microsoft Windows Server 2008 R2 Standard ,BV
RJSERVER103,10.2.17.103,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 50 GB D: 20 GB,Microsoft Windows Server 2008 R2 Standard ,BV
RJSERVER136,10.2.17.136,CPU :Processador Intel(R) Pentium(R) III - 4 socket x  core x  logical proc,4GB,C: 15GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
RJSERVER141,10.2.17.141,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,2GB,C: 20GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
RJSERVER144,10.2.17.144,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,3GB,C: 25GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
RJSERVER152,10.2.17.152,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,3GB,C: 65GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
RJSRVSAPD155,10.2.17.155,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,6GB,C: 25 GB D: 20 GB E: 60 GB F: 258 GB,Microsoft(R) Windows(R) Server 2003 Enterprise x64 Edition,BV
RJSERVER160,10.2.17.160,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,4GB,C: 30GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
